worker_id,avg_monthly_income,income_variance,workload_variance,stability_category,total_gigs
W-1000,491.35,5643.05,8.39,Stable,237
W-1001,74.03,1974.68,10.99,Volatile,67
W-1002,388.91,75217.36,128.08,Highly Unstable,223
W-1003,878.34,129799.85,6.81,Volatile,73
W-1004,4034.6,327751.28,8.2,Stable,255
W-1005,520.62,128186.54,114.63,Volatile,259
W-1006,226.03,9272.25,113.79,Volatile,214
W-1007,5139.28,8299624.52,104.81,Volatile,253
W-1008,1876.44,86286.14,13.06,Stable,238
W-1009,696.54,185219.28,120.27,Volatile,199
W-1010,57.9,1531.54,6.08,Volatile,47
W-1011,2155.24,2052889.6,8.61,Volatile,52
W-1012,61334.65,97459588.16,10.81,Stable,247
W-1013,3766.15,4471717.08,117.42,Volatile,226
W-1014,3542.68,216097.01,10.79,Stable,244
W-1015,1601.2,114230.86,16.55,Moderate,240
W-1016,400.61,4494.38,10.99,Stable,241
W-1017,269.3,3563.59,15.36,Moderate,235
W-1018,1385.96,53834.56,10.81,Stable,235
W-1019,460.53,5811.03,9.9,Stable,233
W-1020,1724.98,636352.64,49.17,Volatile,251
W-1021,351.15,1463.47,6.27,Stable,265
W-1022,1409.41,1049925.63,62.39,Highly Unstable,171
W-1023,13071.55,28078536.77,7.42,Volatile,70
W-1024,1559.78,73485.31,12.06,Stable,232
W-1025,1603.78,74824.95,10.99,Stable,257
W-1026,694.86,26914.45,16.82,Moderate,234
W-1027,753.73,16459.88,11.24,Stable,242
W-1028,1399.95,57071.15,9.54,Stable,217
W-1029,33.98,740.34,9.24,Highly Unstable,50
W-1030,63.95,1057.82,7.11,Volatile,57
W-1031,1577.39,1090035.68,105.79,Volatile,242
W-1032,1551.42,406802.7,53.17,Volatile,245
W-1033,2500.46,1968554.03,82.63,Volatile,199
W-1034,2833.01,6478172.4,143.66,Highly Unstable,189
W-1035,3647.82,2220901.01,53.66,Volatile,249
W-1036,523.9,105473.03,93.11,Volatile,285
W-1037,192.05,18427.84,124.7,Highly Unstable,218
W-1038,143.01,7211.36,71.17,Volatile,185
W-1039,168.92,10243.69,106.24,Volatile,196
W-1040,118.31,3144.53,8.42,Volatile,88
W-1041,325.04,37250.16,7.79,Volatile,58
W-1042,5239.47,495892.87,7.61,Stable,226
W-1043,1517.73,799953.82,8.2,Volatile,57
W-1044,308.44,27716.59,112.93,Volatile,225
W-1045,3766.64,5881607.58,112.64,Volatile,210
W-1046,3703.08,504392.91,9.79,Stable,226
W-1047,1757.02,67668.14,7.88,Stable,236
W-1048,4295.47,772402.84,10.63,Moderate,233
W-1049,238.04,421.84,2.08,Stable,263
W-1050,151.11,6027.64,6.45,Volatile,59
W-1051,3494.39,5014087.16,126.45,Volatile,215
W-1052,4334.51,602552.09,8.55,Stable,228
W-1053,418.81,41355.68,45.9,Volatile,227
W-1054,229.33,15159.31,3.33,Volatile,44
W-1055,438.55,23167.73,28.2,Moderate,351
W-1056,330.68,35481.4,86.52,Volatile,266
W-1057,3816.34,6698335.35,120.99,Volatile,233
W-1058,708.58,199698.28,9.18,Volatile,54
W-1059,2604.01,219378.72,11.06,Stable,242
W-1060,527.01,292929.6,12.06,Highly Unstable,44
W-1061,26.44,781.47,7.17,Highly Unstable,31
W-1062,469.54,6618.41,10.75,Stable,225
W-1063,767.19,13384.77,8.06,Stable,248
W-1064,2713.21,1712984.83,47.91,Volatile,186
W-1065,503.65,79697.47,88.73,Volatile,228
W-1066,684.46,272932.88,97.33,Highly Unstable,208
W-1067,137.62,9698.7,119.17,Highly Unstable,199
W-1068,2719.2,2361077.05,87.54,Volatile,271
W-1069,2575.09,187364.7,7.24,Stable,230
W-1070,8772.76,1842472.69,8.82,Stable,258
W-1071,286.22,53256.15,133.17,Highly Unstable,203
W-1072,2415.96,177095.69,9.64,Stable,240
W-1073,1814.86,52872.21,8.27,Stable,235
W-1074,1185.83,578911.5,138.64,Volatile,222
W-1075,392.61,5691.94,12.27,Stable,239
W-1076,352.05,44147.27,78.2,Volatile,207
W-1077,1945.13,97357.91,9.36,Stable,247
W-1078,2900.18,1712442.47,110.2,Volatile,231
W-1079,30.51,566.45,9.66,Highly Unstable,45
W-1080,3536.41,519330.0,16.15,Moderate,254
W-1081,1106.43,662969.71,149.9,Highly Unstable,239
W-1082,633.67,272076.29,12.33,Highly Unstable,50
W-1083,324.06,39269.11,8.99,Volatile,61
W-1084,76.74,3182.45,16.33,Highly Unstable,74
W-1085,1474.19,57070.61,9.36,Stable,235
W-1086,2076.36,74412.3,6.06,Stable,212
W-1087,349.51,34351.22,71.72,Volatile,251
W-1088,385.94,7062.13,14.45,Moderate,234
W-1089,347.57,9550.45,20.97,Moderate,232
W-1090,1097.35,721911.83,11.84,Highly Unstable,51
W-1091,678.9,414808.21,8.64,Highly Unstable,42
W-1092,402.34,27614.74,52.45,Volatile,234
W-1093,384.92,4223.04,8.63,Stable,247
W-1094,577.79,144089.18,129.3,Volatile,225
W-1095,1104.19,50293.97,16.81,Moderate,247
W-1096,382.89,79970.35,9.36,Highly Unstable,49
W-1097,671.33,193732.64,8.57,Volatile,57
W-1098,960.17,30087.28,10.36,Stable,228
W-1099,8275.41,44106541.28,177.7,Highly Unstable,236
W-1100,345.87,5267.6,15.79,Moderate,238
W-1101,198.01,792.97,6.39,Stable,243
W-1102,3306.72,558518.07,14.33,Moderate,238
W-1103,406.71,51051.67,134.93,Volatile,249
W-1104,225.62,20126.64,106.81,Volatile,199
W-1105,6522.9,1548682.97,13.15,Stable,244
W-1106,762.35,15818.13,10.45,Stable,245
W-1107,327.22,2666.36,9.24,Stable,230
W-1108,352.63,16636.06,4.63,Moderate,71
W-1109,521.97,14301.1,14.06,Moderate,248
W-1110,304.7,3006.2,8.45,Stable,217
W-1111,11812.51,4265856.82,11.06,Stable,226
W-1112,2200.55,1531261.43,79.54,Volatile,221
W-1113,290.91,84507.35,15.79,Highly Unstable,50
W-1114,753.61,143287.06,68.27,Volatile,234
W-1115,491.84,6412.74,10.39,Stable,243
W-1116,355.9,39055.57,94.82,Volatile,258
W-1117,8099.41,6022689.67,24.27,Moderate,253
W-1118,312.25,36040.15,8.63,Volatile,55
W-1119,1185.82,842569.7,96.36,Highly Unstable,168
W-1120,729.65,15790.61,6.52,Stable,230
W-1121,172.73,9287.4,83.72,Volatile,229
W-1122,104.79,6192.14,38.63,Highly Unstable,125
W-1123,409.63,54561.31,84.27,Volatile,223
W-1124,181.27,747.48,12.2,Stable,243
W-1125,1460.98,63064.08,6.33,Stable,242
W-1126,330.24,52878.84,84.63,Volatile,187
W-1127,3671.08,2058990.53,64.27,Moderate,270
W-1128,266.65,35120.32,108.06,Highly Unstable,224
W-1129,1033.3,213174.07,4.39,Volatile,57
W-1130,3143.85,276076.26,8.36,Stable,240
W-1131,287.89,3353.7,13.24,Moderate,242
W-1132,750.46,308778.35,13.72,Highly Unstable,59
W-1133,65.84,4539.63,13.33,Highly Unstable,44
W-1134,10619.82,67390720.62,10.93,Highly Unstable,51
W-1135,1696.64,804772.69,103,Volatile,246
W-1136,1461.58,75353.26,12.81,Stable,233
W-1137,725.87,366419.98,9.3,Highly Unstable,45
W-1138,3136.68,361167.64,11.7,Stable,232
W-1139,6048.24,584122.05,6.75,Stable,255
W-1140,2586.19,151538.54,9.18,Stable,270
W-1141,489.87,103190.49,101.3,Volatile,261
W-1142,4030.23,4998454.41,96.64,Volatile,270
W-1143,8547.4,2188354.31,11.3,Stable,249
W-1144,347.22,14876.41,4.99,Moderate,71
W-1145,1009.52,277865.05,30.39,Volatile,147
W-1146,203.44,676.73,10.79,Stable,244
W-1147,1639.24,116872.45,11.9,Moderate,247
W-1148,196.98,10941.07,90.79,Volatile,160
W-1149,331.7,30217.99,7.36,Volatile,67
