worker_id,platform,location,earnings_per_day,hours_worked,jobs_completed,rating,date,cluster
1,Swiggy,Delhi,450.0,8.0,20,4.5,2024-01-01,2
2,Zomato,Mumbai,600.0,10.0,25,4.2,2024-01-01,0
3,Uber,Bangalore,1500.0,12.0,40,4.8,2024-01-02,0
8,Zomato,Mumbai,600.0,11.0,28,4.3,2024-01-04,0
10,Freelancer,Delhi,5000.0,6.0,3,5.0,2024-01-05,2
11,Swiggy,Delhi,300.0,7.0,15,4.2,2024-01-06,2
12,Zomato,Mumbai,700.0,9.0,30,4.6,2024-01-06,0
13,Uber,Bangalore,10000.0,10.0,50,4.9,2024-01-07,0
14,Swiggy,Pune,550.0,0.0,18,4.0,2024-01-07,2
16,Uber,Chennai,900.0,10.0,33,6.0,2024-01-08,0
17,Swiggy,Pune,400.0,8.0,20,4.1,2024-01-09,2
20,Freelancer,Delhi,2200.0,7.0,6,4.9,2024-01-10,2
21,Swiggy,Delhi,350.0,6.0,14,4.0,2024-01-11,2
22,Zomato,Mumbai,800.0,10.0,29,4.4,2024-01-11,0
23,Uber,Bangalore,1300.0,11.0,38,4.8,2024-01-12,0
25,Freelancer,Delhi,2500.0,8.0,7,4.7,2024-01-13,2
27,Swiggy,Pune,420.0,7.0,19,4.1,2024-01-14,2
28,Zomato,Mumbai,720.0,9.0,28,4.3,2024-01-14,0
29,Uber,Bangalore,1400.0,12.0,42,4.9,2024-01-15,0
30,Freelancer,Delhi,6000.0,6.0,4,5.0,2024-01-15,2
31,Swiggy,Delhi,320.0,7.0,16,4.2,2024-01-16,2
32,Zomato,Mumbai,750.0,10.0,31,4.5,2024-01-16,0
33,Uber,Bangalore,1100.0,9.0,37,4.6,2024-01-17,0
34,Swiggy,Pune,500.0,8.0,20,4.1,2024-01-17,2
38,Zomato,Mumbai,680.0,11.0,26,4.2,2024-01-19,0
39,Uber,Bangalore,1250.0,10.0,34,4.7,2024-01-20,0
40,Freelancer,Delhi,7000.0,5.0,2,5.5,2024-01-20,2
41,Swiggy,Delhi,300.0,6.0,15,4.1,2024-01-21,2
42,Zomato,Mumbai,820.0,10.0,33,4.6,2024-01-21,0
43,Uber,Bangalore,1350.0,11.0,39,4.8,2024-01-22,0
44,Swiggy,Pune,520.0,9.0,23,4.2,2024-01-22,0
45,Freelancer,Delhi,2600.0,8.0,7,4.7,2024-01-23,2
46,Uber,Chennai,980.0,10.0,35,4.5,2024-01-23,0
47,Swiggy,Pune,410.0,7.0,18,4.0,2024-01-24,2
48,Zomato,Mumbai,710.0,9.0,27,4.3,2024-01-24,0
49,Uber,Bangalore,1500.0,12.0,45,4.9,2024-01-25,0
50,Freelancer,Delhi,8000.0,6.0,3,5.0,2024-01-25,2
51,Swiggy,Delhi,330.0,7.0,17,4.2,2024-01-26,2
52,Zomato,Mumbai,760.0,10.0,30,4.4,2024-01-26,0
53,Uber,Bangalore,1150.0,9.0,36,4.6,2024-01-27,0
54,Swiggy,Pune,480.0,8.0,21,4.1,2024-01-27,2
55,Freelancer,Delhi,2800.0,8.0,9,4.8,2024-01-28,2
56,Uber,Chennai,900.0,10.0,34,4.5,2024-01-28,0
58,Zomato,Mumbai,740.0,9.0,29,4.3,2024-01-29,0
59,Uber,Bangalore,1450.0,11.0,41,4.8,2024-01-30,0
60,Freelancer,Delhi,9000.0,6.0,2,5.2,2024-01-30,2
61,Swiggy,Delhi,280.0,6.0,13,4.1,2024-01-31,2
62,Zomato,Mumbai,900.0,11.0,35,4.6,2024-01-31,0
63,Uber,Bangalore,1600.0,13.0,50,4.9,2024-02-01,0
68,Zomato,Mumbai,720.0,10.0,30,4.4,2024-02-03,0
70,Freelancer,Delhi,15000.0,5.0,2,5.3,2024-02-04,2
71,Swiggy,Delhi,310.0,7.0,16,4.2,2024-02-05,2
72,Zomato,Mumbai,850.0,10.0,33,4.5,2024-02-05,0
73,Uber,Bangalore,12000.0,11.0,60,4.9,2024-02-06,0
74,Swiggy,Pune,450.0,0.0,20,4.1,2024-02-06,2
